Número de Seção           | Número do Candidato
0                         | 206
0                         | 124
0                         | 176
0                         | 6
0                         | 171
0                         | 214
0                         | 99
0                         | 232
0                         | 178
0                         | 175
0                         | 69
0                         | 83
0                         | 203
0                         | 86
0                         | 257
0                         | 123
0                         | 124
0                         | 99
0                         | 164
0                         | 104
0                         | 150
0                         | 246
0                         | 153
0                         | 186
0                         | 16
0                         | 158
0                         | 152
0                         | 191
1                         | 4
1                         | 165
1                         | 212
1                         | 167
1                         | 278
1                         | 66
1                         | 35
1                         | 252
1                         | 195
1                         | 219
1                         | 97
2                         | 45
2                         | 91
2                         | 197
2                         | 195
2                         | 271
2                         | 152
2                         | 0
2                         | 158
2                         | 1
2                         | 222
2                         | 118
2                         | 215
2                         | 121
2                         | 294
2                         | 276
3                         | 89
3                         | 56
3                         | 162
3                         | 47
3                         | 170
3                         | 102
3                         | 65
3                         | 249
3                         | 203
3                         | 136
3                         | 137
3                         | 102
3                         | 108
3                         | 88
3                         | 222
3                         | 179
3                         | 64
3                         | 245
3                         | 216
3                         | 12
3                         | 67
3                         | 61
3                         | 81
3                         | 26
3                         | 68
3                         | 84
4                         | 70
4                         | 288
4                         | 167
4                         | 178
4                         | 280
4                         | 197
4                         | 191
4                         | 95
4                         | 187
4                         | 42
4                         | 28
4                         | 110
4                         | 15
4                         | 212
4                         | 289
4                         | 14
4                         | 215
4                         | 257
4                         | 263
4                         | 10
4                         | 282
5                         | 260
5                         | 296
5                         | 247
5                         | 74
5                         | 56
5                         | 111
5                         | 160
5                         | 180
5                         | 200
5                         | 261
5                         | 156
5                         | 178
5                         | 253
6                         | 225
6                         | 180
6                         | 46
6                         | 169
6                         | 242
6                         | 254
6                         | 30
6                         | 246
6                         | 202
6                         | 176
6                         | 291
6                         | 27
6                         | 16
6                         | 231
6                         | 47
6                         | 114
7                         | 22
7                         | 214
7                         | 258
7                         | 167
7                         | 231
7                         | 165
7                         | 291
7                         | 149
7                         | 109
7                         | 145
7                         | 113
8                         | 2
8                         | 13
8                         | 169
8                         | 190
8                         | 103
8                         | 225
8                         | 234
8                         | 29
8                         | 214
8                         | 187
8                         | 205
8                         | 83
8                         | 45
8                         | 123
8                         | 236
9                         | 125
9                         | 184
9                         | 10
9                         | 250
9                         | 136
9                         | 10
9                         | 142
9                         | 111
9                         | 170
9                         | 98
9                         | 140
9                         | 155
9                         | 248
9                         | 300
9                         | 161
9                         | 187
9                         | 111
9                         | 232
9                         | 68
9                         | 276
9                         | 195
9                         | 239
9                         | 246
9                         | 74
10                         | 29
10                         | 246
10                         | 131
10                         | 286
10                         | 270
10                         | 172
10                         | 209
10                         | 45
10                         | 100
10                         | 119
10                         | 226
10                         | 120
10                         | 44
10                         | 285
10                         | 272
10                         | 267
10                         | 168
10                         | 97
10                         | 199
10                         | 270
